SourceId,SourceName,concept_id,concept_name,Comment
47716,RHEUM WORTEL,44507876,RHEUM PALMATUM WHOLE EXTRACT,
54399,FUCUS EXTRACT,42904025,Fucus vesiculosus extract,"Two types, choice was on most frequent one"
